code;area;year.1997;year.1998;year.1999;year.2000;year.2001;year.2002;year.2003;year.2004;year.2005;year.2006;year.2007;year.2008;year.2009;year.2010;year.2011;year.2012;year.2013;year.2014
15101;Arica;86.1;83.1;79.6;75.2;82;84.6;79.1;79.7;78.1;81.8;79.3;86.6;87.4;86.8;95.1;96.9;77.4;71
15102;Camarones;0;0;46.7;0;68.8;0;6;0;36.5;0;14.2;16.4;0;0;0;0;0;
15201;Putre;48.7;0.5;97.1;36.2;44.3;68.9;8.8;38.5;0;97.9;62.5;60.8;25.8;109.7;14.9;58.1;57.6;
15202;General Lagos;29.8;43.4;67.2;61.4;77.3;5.1;8.5;67.3;0;20.9;71;0;0;3.3;0;0;42.5;128.7
1101;Iquique;80.3;83.3;83.3;76.1;82;77.5;74.3;91.7;74.1;77.9;75.7;91.5;85.6;79;88.4;80.6;76.7;80.3
1107;Alto Hospicio;;;;;;;;11.1;51.1;50;63.5;52.3;52.6;49.6;42.8;47.5;59.8;58.7
1401;Pozo Almonte;119.1;89.6;69.4;28.1;123.6;35.6;45.8;44.3;75.3;59.5;50.2;62.6;33.6;34.3;59.8;58.3;73.7;48.2
1402;Camiña;69.8;113.4;48.9;223.3;66.7;21.7;120.5;268.8;48.7;111.6;98.3;214;57.3;82.9;27;17.2;40.2;36.2
1403;Colchane;54.5;118.2;197.4;81.8;51.3;7.3;6.8;15.4;102;33.1;33.1;37.1;0;120.7;0;0;0;33.6
1404;Huara;106.9;58.1;92.6;64.3;66.4;83.8;35.4;20.9;75.1;78;59.4;42.6;44.9;87.2;64.4;48.8;68.7;7.5
1405;Pica;43.5;48.5;30.6;18.8;27.2;38.9;21.9;37.3;31.8;8.1;29.2;22.6;22.2;38.7;24.7;12.4;8.8;39.4
2101;Antofagasta;91.6;91.3;90.8;84.8;85.9;85.9;78.9;77.7;71;73.1;85.6;81.2;77.5;76.2;73.1;71.1;75.8;76.6
2102;Mejillones;78.7;48.7;59.3;85.5;82.7;70.2;99.3;54.4;55.4;81.9;68.3;44.8;75.8;57.1;65.3;73.6;95.9;74.7
2103;Sierra Gorda;14.1;60.8;97.7;5;0.8;39.7;20.1;65.7;29.5;17.2;22.7;38.9;95.9;19.8;14.8;7;43.9;51.6
2104;Taltal;123.5;89.8;91.5;88.5;67;92.1;98.8;68.9;101.4;63.2;80.3;76.1;98.8;77;93;89.3;68;91.7
2201;Calama;89.3;91.3;77;68.8;85;77.9;71.9;68.9;79.7;72.1;95.3;89.2;95.1;85.1;77.5;89.2;70.1;79.1
2202;Ollagüe;318.7;34.5;0;0;455.7;0;0;0;0;0;219.8;0;20.2;0;0;181.8;0;
2203;San Pedro de Atacama;83.4;87.7;133.8;112.6;93.3;51.4;31.2;47.9;56;66.3;61.6;68.7;44.1;66.6;59;43.7;67.9;71.3
2301;Tocopilla;103.9;120.7;106.8;76;114.9;105.4;131.9;84.1;117.9;127.7;119.3;111.6;103.2;126.1;110.9;130.9;95.2;91.4
2302;María Elena;42.5;70.7;56.6;89.2;87.6;26.6;43.6;50.6;42;74.5;66.2;93.8;37.4;62.5;59.6;56.2;23.2;70
3101;Copiapó;88.7;85.4;69.1;78.9;76;72.8;64.1;71.3;66.8;69.3;69.3;71.6;75.9;68.3;76.5;70.2;66.9;63.2
3102;Caldera;43.8;67.3;60.2;83.1;57.3;43.2;72;67.9;62.5;55;64.7;50.3;92.4;70;70.2;65.1;62.5;67.3
3103;Tierra Amarilla;100.3;38.1;106;80.6;49.7;71.7;37.6;51.7;85.8;37.6;56.9;104.4;80.4;46.5;68.7;59;79.6;60.9
3201;Chañaral;112.1;118.6;78.5;52.4;59.6;68.6;78.7;111.4;92.2;99.3;85.1;100;96.3;76.8;102.3;109;80;96.8
3202;Diego de Almagro;96.3;55.9;63.2;61.6;68.3;62.3;61.3;84.8;45.5;93.1;55.1;97;92;76.1;64.6;63.5;51.7;74.3
3301;Vallenar;92.5;83.8;79.8;71.6;82.4;69.2;67.8;78.2;86.3;68.9;92.4;98.4;94.4;82.5;84.6;75;78.7;76.7
3302;Alto del Carmen;89.1;119.5;100.3;60.7;36.3;89.2;97.1;79.1;57.7;56.4;69.5;92.6;88;33.5;67.2;75.9;36;48.4
3303;Freirina;77.1;95.5;45.2;90.2;67.9;68.1;49.6;64.6;63.7;84.4;160.1;82.7;59.5;26;65.5;53.1;83.3;76.4
3304;Huasco;122.9;102.8;128;97.3;123.5;50.7;82;54.4;72.8;108.3;76.5;82.9;85.8;106.5;99.6;109.3;74.2;57.5
4101;La Serena;71.9;73.8;68.8;69.9;64.1;65.8;62.5;66;60.1;57.4;72;70.6;71.7;62.6;58.3;65.6;75.3;70
4102;Coquimbo;72.5;70.5;71.9;70.6;63;64.5;59.4;65.7;66.6;58.6;66.2;59.6;60;63.6;64.1;64.2;63.5;58.8
4103;Andacollo;86.4;87.4;93.9;79.6;87.7;56.1;78;113.6;79.3;99;66.4;91.8;115;108.5;98.9;119.7;66.3;82
4104;La Higuera;90.7;110;39.3;28.1;54.2;127.6;68.1;54.7;44.3;32.8;104.1;44.1;132;71.6;67.5;120.2;126.8;84.7
4105;Paiguano;64.8;148.2;59.8;51.7;33.1;48.6;55.3;56;40;74.9;39;86.6;48.4;72.8;32.1;60.9;57.9;60.9
