Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.115,muertes.total
1101,42,3,1,2,2,2,1,3,1,,1,,,,1,,1,1,11,6,12,7,3,4,4,2,2,4,6,5,4,1,5,5,6,3,4,8,4,2,8,4,1,8,5,3,7,8,10,8,9,6,9,8,7,11,10,14,23,11,11,15,15,10,13,15,17,12,15,14,19,23,15,19,25,17,18,17,21,21,27,27,12,10,23,12,17,21,17,19,10,14,8,10,9,3,2,2,1,,,,,,,,,,,,,,,915
1102,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,4
1103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1104,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,,,,,,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,10
1105,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,1,,1,,,,,1,,,,,,,,2,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,13
1106,2,1,,2,,,,,,1,,,,,,,,,,1,,1,,,,,1,1,,1,,,,1,2,,2,2,,,1,,,1,,,1,,,1,,,,,2,,1,2,,,,1,,,,,1,1,2,,1,,1,1,1,1,,2,,,,,3,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,46
1201,20,,1,1,,,,,,,,,1,,1,2,,,,2,2,,2,2,4,9,4,4,4,7,10,6,1,4,3,7,3,6,5,9,6,8,7,5,10,5,8,9,3,10,8,9,13,12,9,10,3,7,10,14,7,10,17,6,25,22,16,22,22,25,18,19,28,18,27,24,18,24,24,15,23,20,17,19,21,10,12,15,11,24,12,9,9,3,5,4,1,3,5,1,1,,1,,,,,,,,,,,899
1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1301,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1302,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
