Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.111,muertes.112,muertes.113,muertes.114,muertes.118,muertes.119,muertes.total
Comuna,Men 1 año,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,111,112,113,114,118,119,Total 
1101,35,3,1,,2,2,3,1,,,,1,,,3,2,,4,5,2,2,3,4,2,6,3,5,3,1,5,4,6,2,2,5,3,6,6,7,7,9,6,6,6,7,11,6,10,8,9,5,8,13,6,7,13,11,17,10,15,14,14,20,14,15,16,15,17,12,28,18,12,20,29,27,30,22,24,26,23,31,27,19,19,28,13,17,8,15,16,13,5,9,7,7,2,5,2,1,1,1,,,1,,,,,,,,,,,,,972
1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1104,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1105,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,1,1,1,,,2,,,,1,1,,1,,,1,1,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,22
1106,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,1,,,2,1,,,2,,,,,3,,,1,,,,1,1,1,,,1,1,,,1,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,25
1201,23,2,2,,1,1,,,2,,1,,1,1,3,,1,3,,,3,4,2,4,4,5,2,1,6,4,4,6,2,3,1,4,5,,5,2,2,5,5,6,8,3,6,8,14,8,4,8,13,13,16,13,10,20,19,17,19,9,15,15,19,18,15,21,18,21,17,26,23,20,22,15,15,20,20,18,16,25,18,15,17,16,17,22,14,16,6,11,10,8,8,7,7,2,1,,1,1,,1,,,,,,,,,,,,,911
1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
