Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.Total 
1101,37,2,2,,,,1,,,,,1,,1,3,1,3,4,2,2,2,1,4,4,3,7,3,4,3,6,4,3,4,2,8,4,6,1,1,5,9,4,2,2,7,6,8,7,8,6,10,7,9,8,12,8,19,16,10,9,5,23,20,13,17,20,18,26,10,13,18,14,17,19,24,22,17,20,21,20,36,20,19,33,19,20,16,11,15,9,10,11,14,13,7,11,2,7,3,4,,3,2,,,1,,,,,944
1107,11,,,2,,,,,,,1,,1,2,,,1,,,1,,,1,,2,,1,1,1,1,1,1,1,1,,3,2,1,,3,,2,2,1,1,2,2,1,,1,1,5,6,4,2,3,1,1,2,3,3,3,3,2,3,4,2,5,4,,5,4,3,3,2,3,4,7,5,5,2,2,1,4,2,,2,2,2,,1,3,2,,,1,,,1,,1,,,,,,,,,,175
1401,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,1,,,1,1,,1,1,,,1,,,,,,,,2,1,2,,,,,1,,,,,,2,,1,1,3,1,,,1,2,1,1,1,,,,3,,,,,,2,,2,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,41
1402,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,1,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,10
1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1404,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,1,1,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,10
1405,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,2,,1,,1,,1,,,1,,1,,1,,1,1,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,17
2101,46,4,,2,1,1,,,,1,1,,,1,1,1,2,4,1,6,10,4,6,3,3,6,7,3,2,4,5,4,5,9,7,7,11,8,2,15,13,2,7,5,13,21,20,14,10,18,21,20,20,21,27,21,23,19,30,26,29,26,26,28,42,31,30,37,31,38,33,45,34,35,49,28,40,51,42,46,58,48,41,53,50,45,42,32,30,28,27,21,16,15,14,10,8,5,,4,1,1,,,,,,,,,1814
2102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,2,1,1,1,,1,2,,1,1,,1,,1,2,1,1,,1,1,,,,2,2,,2,,1,1,,2,2,,,,,,1,1,,1,,,,,,,1,,,,,,,,,37
2103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,5
