Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.112,muertes.Total 
1101,42,2,,1,3,1,1,,1,,,,1,,,1,1,,2,,1,4,3,1,6,,2,3,4,6,2,3,,1,5,3,1,4,3,5,5,6,4,4,3,6,9,9,11,6,9,9,8,6,9,12,15,11,7,19,17,19,12,9,11,21,20,17,18,20,21,17,14,14,23,18,24,24,22,30,26,21,15,31,22,25,23,19,17,19,15,6,13,10,4,5,8,5,3,2,1,,,,,,,,,,,942
1107,8,,,1,,,,,,,1,,,,1,,1,1,1,2,,,5,1,2,2,,3,,2,,,,,1,1,,1,2,1,4,1,1,3,2,,3,2,1,2,2,3,8,,1,8,3,4,2,2,1,7,4,1,6,6,2,1,4,,4,2,2,3,4,1,1,6,5,2,4,4,6,2,1,2,1,3,3,,2,2,,,,,1,,1,1,1,,,,,,,,,,,185
1401,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,1,,2,,,,1,,,,1,,,1,,,,,1,4,,2,1,1,,,1,3,1,,,2,2,1,1,,1,1,,,,,2,,,,1,1,,,,,1,,,,,,,,,,,38
1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4
1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
1404,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,8
1405,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,1,,1,,,1,1,,1,,1,,,,1,1,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,18
2101,46,3,3,1,2,,2,1,1,,2,,1,2,,,2,4,5,7,3,10,2,1,1,5,1,4,13,7,5,6,5,5,6,4,8,8,3,4,6,6,8,14,16,12,17,16,17,20,11,24,20,16,22,18,13,29,21,22,31,30,39,29,27,43,24,36,28,39,35,27,32,42,28,31,43,45,49,34,52,41,36,54,42,32,23,27,33,19,23,18,12,9,9,6,5,2,5,3,1,2,,,,1,,,,,,1658
2102,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,1,,,,,,,1,,,,1,,1,,1,1,1,2,,,2,1,1,1,1,,,3,,,1,1,3,,1,2,,,4,1,1,1,3,2,1,,2,1,,,2,,,,,,2,1,,,1,,,,,,,,,,,,,,52
2103,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
