Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.112,muertes.114,muertes.122,muertes.114,muertes.Total 
1101,32,7,,1,,2,,,,,,1,,,2,,1,1,1,5,3,4,6,2,2,2,4,3,1,2,4,6,4,9,2,3,7,3,5,1,2,3,3,4,4,6,5,10,10,18,3,4,13,7,13,13,11,6,11,24,14,8,19,19,20,14,10,16,19,23,20,15,20,24,28,28,31,27,26,24,31,38,28,31,25,32,20,16,15,12,13,4,12,14,8,8,8,4,3,,1,1,2,,,,,,,,,,,,1027,
1107,8,,,,,,,,,,1,,,,,1,2,,,1,1,,1,2,1,,,,1,,2,1,1,,1,,4,1,,,1,1,,,1,3,4,2,1,3,2,1,6,8,7,1,1,2,5,4,2,2,3,6,6,1,2,5,2,1,7,9,2,1,3,4,4,7,7,2,7,4,3,3,4,6,1,3,2,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,195,
1401,3,,,,,,,,,,,,,,,,2,1,,1,,,2,,,1,,,,2,,,,,,,,,1,,,,,,,,,,,,1,1,,1,,,,1,2,1,,,,,,,,1,,,,1,1,,,,2,1,1,2,,1,1,,,2,1,,,,1,1,1,,1,2,,,,,,,,,,,,,,,,,,,40,
1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,1,,,,,,,,,2,,,1,,1,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,15,
1405,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,1,,,1,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,2,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,18,
2101,45,,1,,1,1,,1,,,1,,2,2,1,3,1,4,1,3,2,3,7,3,5,8,2,1,3,4,4,2,4,10,4,4,7,4,10,8,8,2,6,12,8,14,19,16,8,19,23,25,19,20,29,26,18,33,26,28,29,26,31,30,28,30,46,23,39,48,36,39,47,41,34,36,33,27,35,45,62,51,63,43,40,36,44,38,27,27,24,23,14,14,16,17,6,6,3,2,4,2,,1,,,,,,,,,,,1787,
2102,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,1,,2,,,,,4,,1,,,,,1,,1,1,2,3,,1,,,1,4,,,,1,1,,1,1,1,1,,1,,1,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,39,
2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
2104,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,1,,,2,,,1,,,,1,2,1,,1,3,3,,,1,3,,,,,,,,1,,1,,3,1,,1,1,2,2,3,2,4,3,2,3,1,2,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,61,
2201,20,2,,,2,2,,,,1,,,,,,3,,1,3,,2,3,5,2,2,2,2,2,1,4,3,1,3,4,3,3,4,4,5,7,3,3,4,4,1,3,6,5,7,5,12,9,6,8,8,11,12,5,13,5,7,8,8,10,14,8,13,11,10,7,8,10,13,8,16,13,16,12,16,9,18,16,8,15,13,10,13,12,9,7,4,5,6,10,1,3,,1,3,,1,,,,,,,,,,,,,,598,
