Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.112,muertes.113,muertes.Total 
1101,16,1,2,1,,1,,,,,,,1,,2,,,4,2,4,3,1,5,1,3,1,4,1,5,2,1,2,2,3,4,2,2,6,4,5,5,4,6,7,3,6,6,6,5,9,11,9,12,11,15,9,12,18,13,21,19,22,19,22,14,21,21,20,19,20,25,21,23,27,16,25,29,19,28,29,35,30,33,27,27,23,27,28,21,23,19,10,13,7,8,8,11,3,2,4,1,,2,3,,,,,,,,,,,1083
1107,15,1,1,,,,,,,1,1,,1,,1,2,4,,,,,2,,1,2,1,2,1,2,2,2,1,1,,,1,,,2,1,2,1,1,1,1,1,5,2,4,,3,1,5,6,2,10,4,6,2,1,9,9,7,1,6,3,5,7,4,6,4,9,3,8,7,8,6,5,5,5,3,4,5,10,5,4,4,6,3,10,,2,2,2,,2,,,,,,2,,,,,,,,,,,,,287
1401,3,,,,,,,,,,,,,1,,,,,,1,,,1,,,1,1,1,,,1,,,,1,,,,,,,,,,,1,,1,,,,1,,1,,1,1,,1,1,1,,,,1,1,,,,1,1,,1,,,,,1,5,1,,,,,2,2,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,41
1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5
1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,1,1,,1,,,,,,,2,,,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,,15
1405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,1,,,1,,,,1,,,,,,1,,,,1,1,2,1,1,,1,,,,1,,,1,,,,,,,,,,,,,,16
2101,41,2,,,2,1,4,,,1,1,1,,2,1,5,,1,2,4,4,2,2,6,9,4,5,2,2,5,5,6,6,4,3,3,4,5,9,8,10,2,12,15,10,10,14,17,14,14,23,10,27,25,22,24,17,37,22,41,36,34,34,38,32,26,39,35,34,49,37,32,40,47,42,35,45,47,50,39,43,50,62,47,49,52,35,44,43,27,34,27,22,13,14,11,6,5,7,5,2,1,1,1,,1,,,,,,,,,1901
2102,2,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,1,,1,,1,,,,1,1,,,,,,1,2,,1,1,,,1,1,1,1,,1,,,1,1,2,1,2,1,,2,3,3,,,,1,1,1,1,2,1,2,,1,3,,1,,,1,,1,,,2,1,,,,,,,,,,,,,,,,,,,55
2103,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
