Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.Total 
1101,21,2,,,,1,1,1,,,,,,,2,1,2,3,,,1,1,6,5,1,3,4,6,3,3,2,5,,5,7,6,3,5,1,3,4,11,7,6,10,6,7,,11,4,7,12,10,16,11,9,9,8,15,11,16,12,17,17,15,22,26,24,21,20,22,15,21,20,25,21,16,26,10,23,21,29,20,19,31,26,40,29,25,31,23,14,16,12,11,11,5,6,5,1,3,1,,,,,,,,,,,1046
1107,9,,,,,1,,,1,1,,1,2,,,1,1,,1,1,1,,,1,,1,3,,2,1,,1,1,2,,1,2,2,3,,5,1,3,2,1,3,4,,1,1,1,3,1,6,5,2,3,3,7,5,1,13,7,3,8,4,10,6,5,7,5,7,3,5,6,8,10,7,3,6,6,3,2,10,7,3,3,5,3,1,3,1,4,1,,3,1,2,,,,,,,,,,,,,,,279
1401,2,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,1,,,,,,,,1,1,,,,,,,1,1,,,,1,1,1,,,,,,2,,1,1,,3,1,1,2,2,2,,1,,1,,,,1,2,1,,1,3,1,3,3,,2,1,1,,,1,,,,,,2,,,1,,,2,,,,,,,,,56
1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5
1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,6
1405,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,2,1,,,1,,1,,1,,2,,,2,,,,,,1,,1,,,,,,,,,,,,,18
2101,39,2,,,1,2,1,1,1,,,1,2,2,1,1,1,1,1,5,6,4,,4,9,3,5,5,2,8,4,4,3,4,5,4,3,2,5,5,3,12,9,7,12,8,7,22,12,13,17,19,19,23,26,30,28,21,33,29,30,36,52,46,38,40,45,54,44,45,40,49,50,44,36,36,45,47,47,53,48,53,50,35,45,60,43,43,39,28,42,29,19,15,17,13,9,6,2,,4,2,,1,2,1,,1,,,,,1981
2102,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,1,,,1,,,,1,1,,,,,,1,1,,2,3,,,1,2,1,1,1,,,2,1,3,1,1,1,,,2,1,1,,,,,,,,1,,,,,,,,,,,,,,36
2104,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,,1,,2,,1,1,,,1,1,,,,,1,1,2,,,,1,,1,2,2,3,4,1,2,2,,2,,1,2,3,4,2,3,5,2,1,,3,6,3,1,1,1,2,1,,,,,1,1,1,,,,,,,,,,,,,82
2201,27,1,2,,,1,,1,2,,,1,1,2,,,3,2,,2,3,2,4,3,3,2,5,3,5,2,1,4,1,,4,3,3,3,5,4,6,4,2,2,4,4,6,5,6,3,12,8,6,9,10,6,15,15,10,11,13,7,6,9,9,15,14,12,12,15,15,12,19,12,15,14,14,10,15,6,7,18,9,16,14,14,13,19,11,11,16,8,9,7,7,2,2,5,2,1,,1,3,,,,,,1,,,,689
