"","code","pd.0","pd.1","pd.2","pd.3","pd.4","pd.5","pd.6","pd.7","pd.8","pd.9","pd.10","pd.11","pd.12","pd.13","pd.14","pd.15","pd.16","pd.17","pd.18","pd.19","pd.20","pd.21","pd.22","pd.23","pd.24","pd.25","pd.26","pd.27","pd.28","pd.29","pd.30","pd.31","pd.32","pd.33","pd.34","pd.35","pd.36","pd.37","pd.38","pd.39","pd.40","pd.41","pd.42","pd.43","pd.44","pd.45","pd.46","pd.47","pd.48","pd.49","pd.50","pd.51","pd.52","pd.53","pd.54","pd.55","pd.56","pd.57","pd.58","pd.59","pd.60","pd.61","pd.62","pd.63","pd.64","pd.65","pd.66","pd.67","pd.68","pd.69","pd.70","pd.71","pd.72","pd.73","pd.74","pd.75","pd.76","pd.77","pd.78","pd.79","pd.80","s.0","s.1","s.2","s.3","s.4","s.5","s.6","s.7","s.8","s.9","s.10","s.11","s.12","s.13","s.14","s.15","s.16","s.17","s.18","s.19","s.20","s.21","s.22","s.23","s.24","s.25","s.26","s.27","s.28","s.29","s.30","s.31","s.32","s.33","s.34","s.35","s.36","s.37","s.38","s.39","s.40","s.41","s.42","s.43","s.44","s.45","s.46","s.47","s.48","s.49","s.50","s.51","s.52","s.53","s.54","s.55","s.56","s.57","s.58","s.59","s.60","s.61","s.62","s.63","s.64","s.65","s.66","s.67","s.68","s.69","s.70","s.71","s.72","s.73","s.74","s.75","s.76","s.77","s.78","s.79","s.80","pm_59_2004","pm_64_2004","pm_69_2004","pm_74_2004"
"1",1101,0.0107976314872867,NA,0.000362713093942691,0.000359971202303816,NA,NA,0.000714796283059328,NA,0.00034794711203897,NA,NA,NA,NA,0.000330250990752972,NA,NA,0.000967741935483871,0.000949968334388854,0.00164690382081686,0.000330687830687831,0.000638569604086846,0.000629722921914358,0.00196014374387455,0.00100536193029491,0.000343170899107756,NA,0.000346140533056421,0.00106082036775106,0.00103626943005181,0.000355366027007818,0.00214899713467049,0.0018348623853211,0.00184162062615101,0.00153315446531238,0.00112191473448018,0.000377928949357521,0.00150602409638554,0.00037037037037037,0.00111482720178372,0.00252890173410405,0.00256035113386979,0.00248844649840028,0.0021849963583394,0.00258016955399926,0.0014336917562724,0.00399274047186933,0.00336448598130841,0.00231928875144956,0.0019546520719312,0.00458715596330275,0.00560828300258844,0.00515947467166979,0.00399400898652022,0.00270416441319632,0.00948991696322657,0.00302480338777979,0.0149544863459038,0.0104311543810848,0.00564971751412429,0.0108949416342412,0.0122349102773246,0.00689061154177433,0.0105769230769231,0.0231621349446123,0.0197368421052632,0.0139049826187717,0.0225653206650831,0.020253164556962,0.0211081794195251,0.0291666666666667,0.0319634703196347,0.0342679127725857,0.0415973377703827,0.0617283950617284,0.0578358208955224,0.0581613508442777,0.0670731707317073,0.0526315789473684,0.072562358276644,0.0646766169154229,0.0120180270405608,9892.02368512713,9892.02368512713,9888.43571861095,9884.87616651641,9884.87616651641,9884.87616651641,9877.81049377409,9877.81049377409,9874.37353813951,9874.37353813951,9874.37353813951,9874.37353813951,9874.37353813951,9871.11251649547,9871.11251649547,9871.11251649547,9861.55982696338,9852.19165740008,9835.96604531609,9832.71341104185,9826.43453913186,9820.24660806188,9800.99751310978,9791.14396333118,9787.78392765399,9787.78392765399,9784.39597890783,9774.01649236727,9763.88797786741,9760.41822378856,9739.44311299245,9721.57257517045,9703.66912659739,9688.79190294604,9677.92190455081,9674.26433769346,9659.69466248609,9656.11699779628,9645.35209590353,9620.95994826215,9596.32691254971,9572.44696644667,9551.53120468458,9526.88663467618,9513.22801584511,9475.24416532812,9443.3648391644,9421.46294931709,9403.04726724259,9359.91402289744,9307.42097617713,9259.39957339198,9222.41744828607,9197.47851521877,9110.19520783828,9082.63865851028,8946.81246270681,8853.4868806897,8803.4671807988,8707.55391968504,8601.01777874273,8541.75150636552,8451.4060577405,8255.6534501594,8092.71292153783,7980.18388902514,7800.10848060296,7642.13159998315,7480.82011502308,7262.62952833491,7030.49068496347,6789.57044342267,6507.14238837181,6105.46693229948,5752.35224031947,5417.78766349038,5054.39946654895,4788.37844199375,4440.92240992164,4153.69857246402,4103.77931070181,1292.44608031496,1907.28707846217,2737.37047166509,4247.64775968053
"2",1102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,0,0
"3",1103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,0,0
"4",1104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,0,0
"5",1105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,0,0
"6",1106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,0,0
"7",1107,0.00212615166548547,NA,NA,0.000710227272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000890471950133571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000940733772342427,0.000918273645546373,NA,NA,NA,NA,NA,NA,NA,NA,0.0014792899408284,NA,NA,0.00172117039586919,NA,NA,0.00208333333333333,NA,NA,NA,NA,NA,NA,0.00392156862745098,NA,NA,NA,0.0100502512562814,0.00568181818181818,0.00578034682080925,NA,NA,NA,0.00917431192660551,NA,0.0340909090909091,0.0133333333333333,0.0123456790123457,0.0142857142857143,NA,NA,NA,NA,NA,0.0444444444444444,NA,9978.73848334515,9978.73848334515,9978.73848334515,9971.65131112686,9971.65131112686,9971.65131112686,9971.65131112686,9971.65131112686,9971.65131112686,9971.65131112686,9971.65131112686,9971.65131112686,9971.65131112686,9971.65131112686,9971.65131112686,9971.65131112686,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9962.77183533779,9953.39951940614,9944.25957494388,9944.25957494388,9944.25957494388,9944.25957494388,9944.25957494388,9944.25957494388,9944.25957494388,9944.25957494388,9944.25957494388,9929.54913178568,9929.54913178568,9929.54913178568,9912.45868577572,9912.45868577572,9912.45868577572,9891.80773018036,9891.80773018036,9891.80773018036,9891.80773018036,9891.80773018036,9891.80773018036,9891.80773018036,9853.0163273169,9853.0163273169,9853.0163273169,9853.0163273169,9753.99103759512,9698.57063397242,9642.50953204195,9642.50953204195,9642.50953204195,9642.50953204195,9554.04614183973,9554.04614183973,9228.34002336792,9105.29548972301,8992.88443429433,8864.41465666156,8864.41465666156,8864.41465666156,8864.41465666156,8864.41465666156,8864.41465666156,8470.44067192104,8470.44067192104,146.983672683098,357.490467958052,445.953858160272,1135.58534333844
"8",1201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,0,0
"9",1301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,0,0
"10",1302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,0,0
