area,ss_code,type_sickness,GES_real_2007,GES_real_2008,GES_real_2009,GES_real_2010,GES_real_2011,GES_real_2012,GES_real_2013,GES_real_2014,GES_real_2015,GES_real_2016
AisÈnEE,3,CÁNCER CERVICOUTERINO,  ,  ,759910,  ,  ,1053485,94363,  ,2203997,1407780
AisÈnEE,4,ALIVIO DEL DOLOR  Y CUIDADOS PALIATIVOS POR CÁNCER AVANZADO,  ,557440,573,1852442,1064222,  ,  ,  ,  ,  
AisÈnEE,5,INFARTO AGUDO DEL MIOCARDIO,24773,  ,  ,  ,  ,3261743,  ,  ,  ,  
AisÈnEE,7,DIABETES MELLITUS TIPO 2,1000096,1401863,4523240,1841110,1437906,1314781,759060,1515678,1302738,890291
AisÈnEE,8,CÁNCER DE MAMA EN PERSONAS DE 15 AÑOS Y MAS,2898264,65246,  ,1636163,397605,515090,  ,6349230,2051438,3316645
AisÈnEE,11,TRATAMIENTO QUIRÚRGICO DE CATARATAS,850517,745022,  ,  ,  ,  ,  ,958487,1386049,72753
AisÈnEE,16,CÁNCER DE TESTÍCULO EN PERSONAS DE 15 AÑOS Y MAS,  ,  ,  ,  ,  ,  ,11783,  ,  ,26520
AisÈnEE,17,LINFOMAS EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,2938,7083371,  ,  ,  ,  ,  ,  
AisÈnEE,18,SÍNDROME DE LA INMUNODEFICIENCIA ADQUIRIDA VIH/SIDA,  ,  ,  ,  ,  ,160782,14200207,19172869,24989201,29496670
AisÈnEE,21,HIPERTENSIÓN ARTERIAL PRIMARIA O ESENCIAL EN PERSONAS DE 15 AÑOS Y MAS,322171,360230,690074,401908,351729,259373,318395,428419,533165,538703
AisÈnEE,24,PREVENCIÓN DEL PARTO PREMATURO,  ,41257,  ,  ,  ,  ,  ,2472851,  ,  
AisÈnEE,25,"TRASTORNOS DE GENERACIÓN DEL IMPULSO Y CONDUCCIÓN EN PERSONAS DE 15 AÑOS Y MÁS, QUE REQUIEREN MARCAPASO",  ,  ,  ,  ,  ,  ,281119,50058,  ,  
AisÈnEE,26,COLECISTECTOMÍA PREVENTIVA DEL CÁNCER DE VESÍCULA EN PERSONAS DE 35 A 49 AÑOS,1677552,  ,1991339,  ,1519914,2265637,  ,1991856,1466217,1481910
AisÈnEE,28,CÁNCER DE PRÓSTATA EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,4139659,469394,32118,10126,58622,  ,  ,  
AisÈnEE,31,RETINOPATÍA DIABÉTICA,  ,  ,591335,36863,  ,  ,  ,1905072,3413947,  
AisÈnEE,32,DESPRENDIMIENTO DE RETINA REGMATÓGENO NO TRAUMÁTICO,4081963,  ,2195333,30786,  ,  ,  ,4263709,  ,  
AisÈnEE,34,DEPRESIÓN EN PERSONAS DE 15 AÑOS Y MÁS,2694869,5990608,7120483,5965574,3874370,6154092,5064420,2575286,2808818,2581494
AisÈnEE,35,TRATAMIENTO DE LA HIPERPLASIA BENIGNA DE LA PRÓSTATA EN PERSONAS SINTOMÁTICAS,  ,  ,  ,  ,  ,  ,33171,83725,2819529,137108
AisÈnEE,37,ACCIDENTE CEREBROVASCULAR ISQUÉMICO EN PERSONAS DE 15 AÑOS Y MÁS,2244999,11912,  ,  ,  ,  ,  ,299988,967792,16001023
AisÈnEE,38,ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA DE TRATAMIENTO AMBULATORIO,  ,  ,  ,  ,20394,18617,  ,143863,222063,234038
AisÈnEE,39,ASMA BRONQUIAL MODERADA Y GRAVE EN MENORES DE 15 AÑOS,  ,  ,  ,  ,  ,  ,  ,  ,  ,140897
AisÈnEE,41,"TRATAMIENTO MÉDICO EN PERSONAS DE 55 AÑOS Y MÁS CON ARTROSIS DE CADERA Y/O RODILLA, LEVE O MODERADA",  ,  ,  ,100058,207667,523959,229784,176677,79392,58350
AisÈnEE,43,TUMORES PRIMARIOS DEL SISTEMA NERVIOSO CENTRAL EN PERSONAS DE 15 AÑOS O MÁS,  ,  ,  ,  ,  ,  ,  ,7075501,  ,83705
AisÈnEE,44,TRATAMIENTO QUIRÚRGICO DE HERNIA DEL NÚCLEO PULPOSO LUMBAR,  ,  ,13074,3348545,  ,4824643,  ,  ,  ,  
AisÈnEE,46,URGENCIA ODONTOLÓGICA AMBULATORIA,  ,20255,83208,19955,  ,27336,  ,19115,  ,  
AisÈnEE,47,SALUD ORAL INTEGRAL DEL ADULTO DE 60 AÑOS,  ,  ,  ,,  ,  ,  ,107429,119171,203811
AisÈnEE,52,ARTRITIS REUMATOIDEA,  ,209471,194507,266880,43463,67568,92554,31270,682698,711473
AisÈnEE,56,HIPOACUSIA BILATERAL EN PERSONAS DE 65 AÑOS Y MÁS QUE REQUIEREN USO DE AUDÍFONO,  ,  ,  ,  ,  ,  ,  ,  ,268121,  
AisÈnEE,60,EPILEPSIA NO REFRACTARIA EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,  ,  ,  ,81967
AisÈnEE,61,ASMA BRONQUIAL EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,71200,203055,252907,242361,98226,123767,22371
AisÈnEE,64,PREVENCIÓN SECUNDARIA ENFERMEDAD RENAL CRÓNICA TERMINAL,  ,  ,  ,  ,  ,20121,  ,  ,  ,  
AisÈnEE,66,SALUD ORAL INTEGRAL DE LA EMBARAZADA,  ,  ,  ,221180,1039982,696578,1623081,2038003,4298416,415560
AisÈnEE,71,CÁNCER DE OVARIO EPITELIAL,  ,  ,  ,  ,  ,  ,  ,  ,  ,251000
AisÈnEE,75,TRASTORNO BIPOLAR EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,386141,974783,703706,312872
AisÈnEE,76,HIPOTIROIDISMO EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,  ,62790,168782,366792,366220
AisÈnEE,77,TRATAMIENTO DE HIPOACUSIA MODERADA EN MENORES DE 4 AÑOS,  ,  ,  ,  ,  ,  ,  ,  ,  ,397956
AisÈnEE,80,TRATAMIENTO DE ERRADICACIÓN DEL HELICOBACTER PYLORI,  ,  ,  ,  ,  ,  ,  ,53910,15775,212008
Algarrobo  ,1,ENFERMEDAD RENAL CRÓNICA ETAPAS 4 Y 5,  ,  ,  ,  ,5287454,1772426,  ,  ,  ,  
Algarrobo  ,3,CÁNCER CERVICOUTERINO,  ,  ,  ,  ,  ,107235,  ,  ,  ,  
Algarrobo  ,4,ALIVIO DEL DOLOR  Y CUIDADOS PALIATIVOS POR CÁNCER AVANZADO,  ,  ,  ,  ,3178999,  ,  ,393354,4771133,3488933
Algarrobo  ,5,INFARTO AGUDO DEL MIOCARDIO,  ,  ,  ,  ,  ,  ,  ,398323,4982247,10228983
Algarrobo  ,6,DIABETES MELLITUS TIPO 1,  ,845595,47704,  ,512617,1856729,2269388,2783836,2126410,1165545
Algarrobo  ,7,DIABETES MELLITUS TIPO 2,1469213,2051705,983521,1099453,627825,786660,835264,1555703,2462314,5412910
Algarrobo  ,8,CÁNCER DE MAMA EN PERSONAS DE 15 AÑOS Y MAS,  ,385057,6112036,2535599,106301,537138,2358704,5763120,7422467,2986720
Algarrobo  ,11,TRATAMIENTO QUIRÚRGICO DE CATARATAS,798233,  ,686511,909132,1084374,  ,  ,  ,82847,906445
Algarrobo  ,17,LINFOMAS EN PERSONAS DE 15 AÑOS Y MÁS,  ,  ,  ,  ,  ,350809,  ,  ,  ,1379680
Algarrobo  ,18,SÍNDROME DE LA INMUNODEFICIENCIA ADQUIRIDA VIH/SIDA,  ,  ,  ,8597844,10721343,13446483,15437374,12080185,8711258,7446584
Algarrobo  ,21,HIPERTENSIÓN ARTERIAL PRIMARIA O ESENCIAL EN PERSONAS DE 15 AÑOS Y MAS,679923,747328,1411402,1255679,1585787,1396411,1257019,1962338,2530453,2508620
Algarrobo  ,25,"TRASTORNOS DE GENERACIÓN DEL IMPULSO Y CONDUCCIÓN EN PERSONAS DE 15 AÑOS Y MÁS, QUE REQUIEREN MARCAPASO",  ,2624176,58253,2981748,16992,  ,  ,12325284,1453523,1337415
